commit	local_score	dacon_score	status	description
076dd36	454		discard	RandomForest baseline (Dacon 제공, median impute) — 즉시 교체됨
92e20dd	722.50	848.64484	keep	LightGBM + 23개 피처 엔지니어링(카운트/레버리지/매치업/cold-start/구종성향/주기성) + isotonic 보정
23c711c	748.36	881.22099	keep	LightGBM+CatBoost 50:50 블렌드 + isotonic 보정 (2022/2023/2024 롤링 검증으로 하이퍼파라미터 재확인, 학습데이터 최신성이 튜닝보다 중요함을 확인)
69d16f1	770.19		discard	trackman_history.csv 카운트 상황(balls/strikes/outs_before) lookup 피처 12개 추가 — PR #3에 GPT Pro 리뷰 요청, TK_LOOKUP이 season 필터 없이 2019~2024 전체로 만들어져 2024 홀드아웃 검증에 2024 자체 Trackman 정보가 새어든 결함 발견 (실제 2025 제출 경로는 안전, 검증 수치만 무효)
90cfa5c	765.86		discard	TK_LOOKUP을 TK_LOOKUP_VAL(시즌<=2023, 검증용)/TK_LOOKUP_FULL(시즌<=2024, 최종 제출용)로 분리해 season 리크 수정, merge에 validate="many_to_one" 추가 — 재검증한 정직한 점수 748.36->765.86. GPT Pro 재리뷰에서 merge key dtype 방어 부재 + 세 build_features() 문자 불일치 지적받아 223c29d로 보완
223c29d	765.86		discard	merge 전 tk_lookup 키 dtype을 df 쪽에 맞춰 캐스팅, train.ipynb의 ID->ID_COL 상수명 통일 + docstring 일치로 train/inference/script.py의 build_features() 3곳을 완전히 동일화(diff로 확인) — 점수는 765.86 그대로. 3차 재리뷰에서 CatBoost best_iteration off-by-one 버그 새로 발견되어 4876feb로 수정
4876feb	766.04	882.108625189	keep	CatBoostClassifier.get_best_iteration()이 0-based 인덱스인데 그대로 iterations=에 넘겨 실제 선택된 모델보다 트리 1개 적게 재현되던 버그 수정(+1 보정, 토이 예제로 직접 검증) — v2부터 있던 일반 버그였음. 766.04로 소폭 개선. 4차 GPT Pro 재리뷰에서 이 수정 자체는 통과 확인, isotonic 보정 OOF가 random KFold+asof_* 시간누적피처로 완전한 시간순은 아니라는 새 지적은 v1부터 있던 기존 설계이자 대회 규칙 위반은 아니라고 판단해 이슈 #4로 분리, PR #3은 여기서 마무리. Dacon 리더보드 제출 완료: 882.108625189 (v2 881.22099 대비 +0.89)
8c80e65	748.08	871.3183926356	keep	이슈 #4 수정: isotonic 보정 OOF를 KFold(shuffle=True) 무작위 분할에서 시즌 단위 expanding-window(season<Y로 학습, Y를 OOF)로 재설계, global_mean/tk_lookup도 fold별 재계산. 재검증한 정직한 점수 766.04->748.08. 트랙맨 피처 ablation(동일 방법론): 없음 727.83 vs 있음 748.08(+20.25) — v3의 상대적 개선폭 재확인, 낙폭은 방법론 편향 제거일 뿐 트랙맨 무효화 아님. PR #5 merged. 2026-08-23 Dacon 제출(v4 단독, 50:50 고정블렌드): 871.32 — v3(882.11) 대비 -10.79로 하락폭 대부분이 여기서 발생. v5(876.93)는 v4+가중치탐색인데 v4보다 오히려 +5.61 높음 -> 가중치 탐색이 OOF 재설계의 악영향을 상당부분 상쇄한 것으로 보임. v6(871.37)는 v4와 사실상 동일(-0.05) -> NN 추가가 v5의 가중치탐색 이득을 거의 정확히 상쇄. 결론: (1) expanding-window OOF 재설계 자체가 실제 일반화에 -10~11점 수준의 해를 끼침(원인 미확정, 조사 필요), (2) v5 가중치 탐색은 이를 우연히 상쇄했을 뿐일 가능성 있음(2024 홀드아웃 과적합 우려, GPT Pro도 model-selection bias 지적), (3) v6의 NN은 로컬 ablation(+5.19)과 반대로 실제 성능을 깎음 -> PR #7 머지 보류 유지
same_hand실험	749.34		discard	(중간 실험, 별도 커밋 아님) 트랙맨 lookup 키에 same_hand 매치업 추가 + w=0.35 블렌드 -> 749.34였지만, 같은 w/순서로 고정한 ablation에서 same_hand 없이는 750.75로 더 높게 나와 -1.41 악화임이 드러나 기각/되돌림
5d77c5a	750.75	876.9277353124	keep	블렌드 가중치를 고정 50:50 대신 W_GRID(0.10~0.90) 격자 탐색 -> w_lgb=0.35 최적, 748.08->750.75. 보정 순서(블렌드후보정 vs 모델별보정후블렌드) 비교 -> 블렌드후보정이 전 실험에서 우세, 기존 방식 유지 확인(calibration_mode 필드로 일반화). same_hand 트랙맨 키 확장은 ablation 결과 기각. 2026-08-22 Dacon 제출: 876.93 — v3(882.11) 대비 -5.18 하락, 로컬 검증(748.08->750.75 개선)과 반대 방향. v4의 expanding-window OOF 재설계가 원인일 가능성 있음(v5는 v4+가중치튜닝뿐) — v4 단독 제출로 조사 예정(2026-08-23)
afc24ea	757.28		discard	PyTorch MLP를 세 번째 앙상블 모델로 추가 — 최초 버전. GPT Pro PR #7 코드 리뷰에서 train_nn()이 조기종료 break epoch(13)를 반환하고 실제 best epoch(9)를 반환하지 않는 버그 발견(CatBoost off-by-one과 같은 성격) — OOF/최종 재학습이 검증에 쓰인 모델과 다른 epoch 수로 학습돼 757.28/+6.53이 부풀려진 수치였음. 다음 커밋에서 수정 후 재검증.
OOF보정실험	766.04(A)/757.06(B1)/733.29(B2)/749.33(C)		실험중	(중간 실험, 별도 커밋 아님) 2024 홀드아웃 원인조사: 보정 OOF 방식 A/B/C 3갈래 병렬 비교. A=KFold(shuffle) 복원(pre-issue#4 방식 그대로) -> 766.04(+15.29, v3 로컬점수 766.04와 정확히 일치). B1=expanding-window에서 season=2020 fold만 제외 -> 757.06(+6.31). B2=2020+2021 fold 제외 -> 733.29(-17.46, 악화). C=fold train_size 비례 가중 isotonic -> 749.33(거의 변화없음). 결론: KFold(shuffle) 복원이 로컬 최고점이자 실제 최고 실측점(v3, 882.11)과도 일치 -> 보정 메커니즘만 KFold로 되돌리는 v7 실험 권장, 사용자 판단 대기
461a374	755.94	871.3702762474	keep	GPT Pro PR #7 코드 리뷰 반영: train_nn()의 NN_EPOCHS 버그(조기종료 break epoch를 반환, best epoch 아님) 수정 후 전체 파이프라인 재생성 -> 750.75 vs 755.94, +5.19로 여전히 채택(로컬 기준). CAT_VOCABS 전체데이터 어휘 안전성을 assert로 검증. 신경망 아티팩트를 nn.Module 전체 pickle에서 state_dict+재구성메타데이터로 전환(cross-version pickle 위험 제거). 블렌드 가중치 선택의 model-selection bias 한계 문서화. 2026-08-22 Dacon 제출: 871.37 — v5(876.93) 대비 -5.56, v3(882.11) 대비 -10.74 하락. 로컬 검증은 v5보다 개선(750.75->755.94)이라 나왔는데 실제로는 더 나빠짐 — 로컬 재검증 방법론(expanding-window OOF)이 실제 2025 데이터 일반화를 못 따라가고 있을 가능성. PR #7 머지 보류, 원인 조사 중
cc146f6	766.04	882.1086251899	keep	v7: 보정(calibration) OOF 생성 메커니즘을 expanding-window에서 KFold(shuffle=True, n_splits=5, random_state=42)로 되돌림(main/v5 기준 브랜치, v6/NN 미포함). 이번 세션 로컬 A/B/C 실험(위 "OOF보정실험" 행 참고)에서 KFold 복원(A)이 로컬 최고점(766.04, v5 기준 750.75 대비 +15.29)이자 v3 원래 로컬 점수와 정확히 일치, 실제 리더보드에서도 KFold 기반 v3(882.11)가 지금까지 최고 실측점이었음을 근거로 채택. TK_LOOKUP_VAL/TK_LOOKUP_FULL 시즌분리·build_features()·블렌드가중치탐색 인프라는 무변경(diff로 확인), inference.ipynb/script.py도 아티팩트 스키마 불변이라 무수정. 재실행 결과 로컬 766.04 재현(w_lgb=0.50, blend_then_calibrate 선택), 245,789행 스트레스 테스트 1.87초로 통과. 2026-08-23 Dacon 제출: 882.1086251899 — v3(882.108625189)와 사실상 동일(소수점 마지막 자리 반올림 차이뿐). 가설 완전 확정: expanding-window OOF 보정 방식(issue #4/v4~v6)이 실측 -10~11점 하락의 유일한 원인이었고, KFold(shuffle) 복원만으로 v3 수준 완전 회복. PR #8 머지 가능, PR #7(NN)은 이 새 KFold 기준선 위에서 ablation 재실행 필요
19725c1	774.07	895.4429039277	keep	v8-li: main(5a68620=v7 기준)에서 독립 분기, build_features()에 li(leverage index) 파생 피처 3개 추가 — is_high_leverage(li>=1.5, train.csv 실제 분포 확인: 평균0.98/중앙값0.80/li>=1.5가 상위19.7%), li_count_diff(li*count_diff), li_late_close(li*late_and_close). 필수 ablation(동일 KFold(shuffle=True,5-fold) OOF+블렌드가중치/순서 격자탐색, 2024 홀드아웃): li 없음 766.04 vs 있음 774.07, +8.03 개선(same_hand -1.41과 뚜렷이 다른 방향) -> 채택. 최적 (order,w_lgb)이 blend_then_calibrate/0.50 -> calibrate_then_blend/0.45로 변경됨. build_features() 3파일(train.ipynb/inference.ipynb/script.py) 문자단위 동일성 diff로 확인. submissions/v8_li_leverage.zip 빌드 완료, 5행+245,789행 스트레스 테스트(1.6초) 통과. 세 v8 백로그 항목(NN/li/시즌워크로드) 모두 main에서 독립 분기, 서로 stacking 안 함. 2026-08-24 Dacon 제출: 895.4429039277 — v7(882.11) 대비 +13.33, 로컬 개선폭(+8.03)보다도 실측 개선폭이 더 큼(로컬-실측 방향 완전 일치) -> PR #9 머지 확정
6d293ff	780.65	871.0776063178	keep(머지보류, 원인조사중)	v8-season: main(5a68620=v7 기준)에서 독립 분기, asof_pitcher_n(커리어 누적)에서 투수별 "시즌 시작 시점" baseline을 뺀 season_pitch_load_est + pitcher_season_load_cold_start 2개 피처 추가. baseline은 make_pitcher_load_baseline()으로 계산 — 시즌별 종료시점 누적치를 투수 단위 정렬 후 shift(1)해 "그 시즌보다 엄격히 이전 시즌"만 반영하도록 구조적으로 보장(같은시즌 self-min 방식은 검증대상/2025 test.csv 자체가 train.csv에 없어 구조적으로 불가능해서 기각), TK_LOOKUP과 동일한 검증(≤2023)/최종(≤2024) 분리도 이중 안전장치로 유지. 2019~2024 이력 없는 투수(2025 신인/콜업)는 baseline 0 + cold-start 플래그(진짜 데뷔 투수는 이번시즌 던진 만큼이 곧 워크로드이므로 의미상 올바른 값). 필수 ablation(동일 kfold_oof()+블렌드가중치/순서 격자탐색, 2024 홀드아웃): 없음 766.04 vs 있음 780.65, +14.61 개선 — v8 백로그 3항목(NN/li/시즌워크로드) 중 최대폭이자 프로젝트 전체 단일피처군 추가로도 최대폭(트랙맨+20.25, li+8.03 대비). 최적 (order,w_lgb)이 blend_then_calibrate/0.50 -> calibrate_then_blend/0.40으로 변경. 문헌근거(급성피로 O, 만성시즌워크로드 X)가 가장 약한 항목이었는데 결과는 반대로 가장 컸음 — "문헌근거 강약과 실측 효과크기가 비례하지 않는다"는 사례로 기록. 콜드스타트 비율(2024 시즌행 기준) 19.86%(투수수 기준 81/391=20.72%) — 실제 2025 test.csv 콜드스타트 근사치. build_features() 3파일 문자단위 동일성 확인. submissions/v8_season_load.zip 빌드+5행/245,789행 스트레스테스트(2.65초) 통과. 2026-08-24 Dacon 제출: 871.0776063178 — v7(882.11) 대비 -11.03 하락, 로컬 개선(+14.61)과 정반대 방향 — v4~v6 시기의 "로컬 개선/실측 악화" 패턴이 이 피처에서 재발. KFold 보정 복원(v7)으로 해결됐다고 확인한 문제가 재발했다는 건 방법론이 아니라 이 피처(시즌시작 baseline lookup) 자체의 문제 가능성 시사 — 가설: (1) baseline lookup의 미확인 리크 경로, (2) 2024 홀드아웃과 실제 2025 test.csv 간 콜드스타트비율/투수풀 차이, (3) 이 변형에서 선택된 가중치(calibrate_then_blend/0.40)가 2024 홀드아웃에 과적합(v8-nn실험이 발견한 홀드아웃 최대화 가중치선택의 과적합 위험과 동일 계열). PR #10 머지 보류, 원인 조사 필요
v8-nn실험	771.82(①편향)/753.48(②독립)		discard	v8: v6의 PyTorch MLP를 v7 KFold 기준선 위에서 재검증 -> 기각. kfold_oof()를 3-way(LGB/CB/NN)로 확장(NN도 같은 5-fold 안에서 학습, fit_scaler는 fold별 재적합), 가중치 탐색도 (w_lgb,w_cb,w_nn) 합=1 0.1간격 3-way로 확장. ablation①(2024에서 가중치까지 선택): LGB+CB 766.04 vs +NN 771.82(+5.78) — 그러나 3-way 격자가 2-way 격자를 부분집합으로 포함하므로 이 diff는 정의상 음수가 될 수 없음(개선이 아니라 탐색 자유도를 측정). ablation②(선택편향 제거: 가중치는 OOF 1.22M행 원시블렌드 Brier로만 선택, 2024는 평가 전용): 2-way w=(0.9,0.1) -> 753.48, 3-way w=(0.9,0.1,0.0) -> 753.48, diff +0.00 — **3-way 탐색이 스스로 NN에 가중치 0.0을 부여**(w_nn>0인 66개 조합 중 OOF Brier가 w_nn=0보다 나은 것이 하나도 없음). 따라서 ①의 +5.78은 격자 확장에 따른 2024 홀드아웃 과적합으로 판정, same_hand(v5, -1.41) 전례와 동일 규율로 코드 전부 원복(문서만 커밋). 실측과 일치: v6 로컬 +5.19가 실제 리더보드에서 0으로 사라졌던 현상(v6 871.37 vs NN없는 v4 871.32)을 이번엔 제출 전에 로컬에서 포착. NN 단독 625.65 (LGB 720.40 / CB 724.12). 교훈: 후보공간이 기준선의 상위집합인 ablation은 게이트가 아니다 — 선택에 쓰지 않은 데이터로 평가하는 게이트를 반드시 병행할 것.
